"SURVYEAR","FIPST","STABR","STATENAME","SEANAME","LEAID","ST_LEAID","LEA_NAME","SPECED"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100002","210","Alabama Youth Services","24"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100005","101","Albertville City","267"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100006","048","Marshall County","430"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100007","158","Hoover City","861"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100008","169","Madison City","735"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100009","600","Al Inst Deaf And Blind","280"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100011","167","Leeds City","171"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100012","115","Boaz City","120"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100013","205","Trussville City","213"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100015","602","SafetyNet Academy","30"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100016","606","Bryce Adolescent School","4"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100018","207","Alabama School of Fine Arts","-1"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100019","613","UCP Of Greater Birmingham","15"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100020","618","Boyd School","8"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100021","619","Brewers Porch Childrens Center","27"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100022","621","Three Springs Courtland Sch","20"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100023","623","Three Springs Madison Sch","10"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100024","624","Three Springs New Beginnings","6"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100026","626","Three Springs New Tuskegee","9"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100028","628","Three Springs New Tuskegee","6"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100029","631","Three Springs New Direction","-1"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100030","102","Alexander City","310"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100032","647","The Bridge","-1"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100033","648","Glenwood Mental Health Service","39"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100035","662","Learning Tree Inc","95"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100036","664","Lee Co Youth Development Ctr","6"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100037","666","Bay Point Center","13"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100038","676","Pathway Inc","21"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100039","680","Presbyterian Home For Children","5"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100040","681","Brantwood Children's Home","3"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100041","683","Developing Alabama Youth Prog","-1"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100042","687","Laurel Oaks Behavioral Health","38"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100043","695","Mountainview Hospital","13"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100044","697","The Rushton School","2"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100045","699","Wilmer Hall","-1"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100046","705","Three Springs Paint Rock Valley","-1"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100060","104","Andalusia City","155"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100090","105","Anniston City","143"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100100","106","Arab City","149"
"2015-2016","01","AL","ALABAMA","Alabama Department Of Education","0100120","107","Athens City","287"
